track_id,artist_name,artist_id,title,song_id,release,path
TRAAAGR128F425B14B,Cyndi Lauper,ARGE7G11187FB37E05,Into The Nightlife,SONRWUU12AF72A4283,Bring Ya To The Brink,data\lmd_matched_h5\lmd_matched_h5\A\A\A\TRAAAGR128F425B14B.h5
TRAAAZF12903CCCF6B,Matthew Wilder,ARJJ8611187FB5321F,Break My Stride,SOUCVHW12AB018E830,I Don't Speak The Language,data\lmd_matched_h5\lmd_matched_h5\A\A\A\TRAAAZF12903CCCF6B.h5
TRAABVM128F92CA9DC,Tesla,ARYKCQI1187FB3B18F,Caught In A Dream,SOXLBJT12A8C140925,Gold,data\lmd_matched_h5\lmd_matched_h5\A\A\B\TRAABVM128F92CA9DC.h5
TRAABXH128F42955D6,Brian Wilson,ARD9UVF1187B9B17FE,Keep An Eye On Summer (Album Version),SOHXFBA12A8C13D637,Imagination,data\lmd_matched_h5\lmd_matched_h5\A\A\B\TRAABXH128F42955D6.h5
TRAACQE12903CC706C,Old Man River,ARDDIBO1187B9B0822,Summer,SOGUCAN12AB017BF99,Good Morning,data\lmd_matched_h5\lmd_matched_h5\A\A\C\TRAACQE12903CC706C.h5
TRAADKW128E079503A,Tracy Chapman,ARAO91X1187B98CCA4,Fast Car (LP Version),SOJCRUY12A67ADA4C2,Tracy Chapman,data\lmd_matched_h5\lmd_matched_h5\A\A\D\TRAADKW128E079503A.h5
TRAAEEH128E0795DFE,Chris Rea,AR3793X1187FB50CB3,Driving Home For Christmas,SODHVES12A6701CE6B,The Road To Hell Part 2,data\lmd_matched_h5\lmd_matched_h5\A\A\E\TRAAEEH128E0795DFE.h5
TRAAEJH128E0785506,Hank Williams Jr.,ARA870V1187FB3C4B7,Tuesday's Gone (Remastered Album Version),SOFBGBL12A67020D9F,Southern Rock Country Style,data\lmd_matched_h5\lmd_matched_h5\A\A\E\TRAAEJH128E0785506.h5
TRAAFMT128F429DB58,Tokio Hotel,ARVVHDT1187FB5C668,1000 Meere,SOWHFXH12A8C13E77B,An deiner Seite (ich bin da),data\lmd_matched_h5\lmd_matched_h5\A\A\F\TRAAFMT128F429DB58.h5
TRAAGCZ128F93210FD,Black Eyed Peas,ARTDQRC1187FB4EFD4,Let's Get It Started,SOCHRXB12A8AE48069,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,data\lmd_matched_h5\lmd_matched_h5\A\A\G\TRAAGCZ128F93210FD.h5
TRAAGKR12903CFC1E5,Calle Kristiansson,ARXKJYR1269FB2729B,Hungry Heart,SOKHUFS12AC9072FC7,Calle Kristiansson,data\lmd_matched_h5\lmd_matched_h5\A\A\G\TRAAGKR12903CFC1E5.h5
TRAAGMC128F4292D0F,LITTLE TEXAS,ARDMBVC1187B98ED2A,My Love (Album Version),SONMIVJ12A58A76E0B,Rhino Hi-Five: Little Texas,data\lmd_matched_h5\lmd_matched_h5\A\A\G\TRAAGMC128F4292D0F.h5
TRAAGMJ12903CAD7D4,Julien Clerc,ARW63KF1187B98AC48,This Melody (Live),SODRHHD12AB0189F2A,Vendredi 13 - 1981,data\lmd_matched_h5\lmd_matched_h5\A\A\G\TRAAGMJ12903CAD7D4.h5
TRAAHOQ12903CC6A5A,The Hollies,ARXRNDO1187FB42BE5,Stop Stop Stop (1999 Digital Remaster),SOXVAWF12AF72AAFBE,The Albums Collection,data\lmd_matched_h5\lmd_matched_h5\A\A\H\TRAAHOQ12903CC6A5A.h5
TRAAJSX128F4275A1D,Nelson Ned,AR6C8EJ1187FB3F473,Brasas Vivas,SOCCQIQ12A8C13C76B,Mis Momentos,data\lmd_matched_h5\lmd_matched_h5\A\A\J\TRAAJSX128F4275A1D.h5
TRAAKDJ12903D09573,Arisen Flame,ARCVOFZ1187FB58074,Income,SOUBASN12AC468DB23,Income EP,data\lmd_matched_h5\lmd_matched_h5\A\A\K\TRAAKDJ12903D09573.h5
TRAAKLG128F93453BB,Doves,ARW64KS1187FB3C94D,Jetstream (Sasha Subdub),SOFHWGB12AB0180F70,Winter Hill,data\lmd_matched_h5\lmd_matched_h5\A\A\K\TRAAKLG128F93453BB.h5
TRAAKMU128F9355D15,Space DJZ,ARXZRGV1187B991738,Force Majeure,SOHGHHF12AB0189658,Force Majeure - The RMX's,data\lmd_matched_h5\lmd_matched_h5\A\A\K\TRAAKMU128F9355D15.h5
TRAAKOM12903D14D9F,Sonny fodera,ARSNJVG1252CCFA28B,Changes feat Adaja Black (Original Mix),SOOTPVX12AC46864A3,Changes feat Adaja Black,data\lmd_matched_h5\lmd_matched_h5\A\A\K\TRAAKOM12903D14D9F.h5
TRAAKQA128F424B272,Marilyn Monroe,ARP6N4J1187FB36C7B,I Wanna Be Loved By You,SOMFWHN12A8C13A014,The Very Best Of,data\lmd_matched_h5\lmd_matched_h5\A\A\K\TRAAKQA128F424B272.h5
TRAAKQS128F4224DE1,Brazilian Tropical Orchestra,AREYIHC1187B99CE0B,One Less Bell To Answer,SOPBKEB12A6D4FD777,American Songbook - Bacharach,data\lmd_matched_h5\lmd_matched_h5\A\A\K\TRAAKQS128F4224DE1.h5
TRAALAH128E078234A,The Verve,AR0L04E1187B9AE90C,Bitter Sweet Symphony,SOXQYSC12A6310E908,Bitter Sweet Symphony,data\lmd_matched_h5\lmd_matched_h5\A\A\L\TRAALAH128E078234A.h5
TRAAMBM128F4248306,Gary Smith,AR7Y33Q1187FB3CAE0,It's Your Store,SOSUKOM12A8C13509B,TV And Radio - Disk 3,data\lmd_matched_h5\lmd_matched_h5\A\A\M\TRAAMBM128F4248306.h5
TRAAMLX12903CF5B92,Saeed Younan,ARJAR3411C8A4162B3,Yeah Ha,SOSSGWI12A8C143551,Azuli Presents Miami 2010,data\lmd_matched_h5\lmd_matched_h5\A\A\M\TRAAMLX12903CF5B92.h5
TRAANTZ128E0792529,Nine Inch Nails,ARK9TRQ1187B99C095,The Frail,SOKIGWD12A6701DE9D,Things Falling Apart,data\lmd_matched_h5\lmd_matched_h5\A\A\N\TRAANTZ128E0792529.h5
TRAANZE128F148BF55,Abba,ART50HO1187FB4D0ED,The Name Of The Game,SOUQCDM12A58A7BBCE,Number Ones,data\lmd_matched_h5\lmd_matched_h5\A\A\N\TRAANZE128F148BF55.h5
