track_id,artist_name,artist_id,title,song_id,release,genre,midi_path,faiss_id
TRAAAGR128F425B14B,Cyndi Lauper,ARGE7G11187FB37E05,Into The Nightlife,SONRWUU12AF72A4283,Bring Ya To The Brink,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\A\TRAAAGR128F425B14B,0
TRAAAZF12903CCCF6B,Matthew Wilder,ARJJ8611187FB5321F,Break My Stride,SOUCVHW12AB018E830,I Don't Speak The Language,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\A\TRAAAZF12903CCCF6B,1
TRAABVM128F92CA9DC,Tesla,ARYKCQI1187FB3B18F,Caught In A Dream,SOXLBJT12A8C140925,Gold,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\B\TRAABVM128F92CA9DC,2
TRAABXH128F42955D6,Brian Wilson,ARD9UVF1187B9B17FE,Keep An Eye On Summer (Album Version),SOHXFBA12A8C13D637,Imagination,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\B\TRAABXH128F42955D6,3
TRAACQE12903CC706C,Old Man River,ARDDIBO1187B9B0822,Summer,SOGUCAN12AB017BF99,Good Morning,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\C\TRAACQE12903CC706C,4
TRAADKW128E079503A,Tracy Chapman,ARAO91X1187B98CCA4,Fast Car (LP Version),SOJCRUY12A67ADA4C2,Tracy Chapman,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\D\TRAADKW128E079503A,5
TRAAEEH128E0795DFE,Chris Rea,AR3793X1187FB50CB3,Driving Home For Christmas,SODHVES12A6701CE6B,The Road To Hell Part 2,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\E\TRAAEEH128E0795DFE,6
TRAAEJH128E0785506,Hank Williams Jr.,ARA870V1187FB3C4B7,Tuesday's Gone (Remastered Album Version),SOFBGBL12A67020D9F,Southern Rock Country Style,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\E\TRAAEJH128E0785506,7
TRAAFMT128F429DB58,Tokio Hotel,ARVVHDT1187FB5C668,1000 Meere,SOWHFXH12A8C13E77B,An deiner Seite (ich bin da),,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\F\TRAAFMT128F429DB58,8
TRAAGCZ128F93210FD,Black Eyed Peas,ARTDQRC1187FB4EFD4,Let's Get It Started,SOCHRXB12A8AE48069,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\G\TRAAGCZ128F93210FD,9
TRAAGKR12903CFC1E5,Calle Kristiansson,ARXKJYR1269FB2729B,Hungry Heart,SOKHUFS12AC9072FC7,Calle Kristiansson,,C:\Users\danie\Documents\GitHub\music-representation-learning\data\midi_files\A\A\G\TRAAGKR12903CFC1E5,10
