track_id,artist_name,artist_id,title,song_id,release,artist_location,genre
TRAAAGR128F425B14B,Cyndi Lauper,ARGE7G11187FB37E05,Into The Nightlife,SONRWUU12AF72A4283,Bring Ya To The Brink,"Brooklyn, NY",
TRAAAZF12903CCCF6B,Matthew Wilder,ARJJ8611187FB5321F,Break My Stride,SOUCVHW12AB018E830,I Don't Speak The Language,"New York, NY [Manhattan]",
TRAABVM128F92CA9DC,Tesla,ARYKCQI1187FB3B18F,Caught In A Dream,SOXLBJT12A8C140925,Gold,,
TRAABXH128F42955D6,Brian Wilson,ARD9UVF1187B9B17FE,Keep An Eye On Summer (Album Version),SOHXFBA12A8C13D637,Imagination,"Hawthorne, CA",
TRAACQE12903CC706C,Old Man River,ARDDIBO1187B9B0822,Summer,SOGUCAN12AB017BF99,Good Morning,,
TRAADKW128E079503A,Tracy Chapman,ARAO91X1187B98CCA4,Fast Car (LP Version),SOJCRUY12A67ADA4C2,Tracy Chapman,"Cleveland, Ohio",
TRAAEEH128E0795DFE,Chris Rea,AR3793X1187FB50CB3,Driving Home For Christmas,SODHVES12A6701CE6B,The Road To Hell Part 2,"Middlesbrough, England",
TRAAEJH128E0785506,Hank Williams Jr.,ARA870V1187FB3C4B7,Tuesday's Gone (Remastered Album Version),SOFBGBL12A67020D9F,Southern Rock Country Style,"Paris, TN",
TRAAFMT128F429DB58,Tokio Hotel,ARVVHDT1187FB5C668,1000 Meere,SOWHFXH12A8C13E77B,An deiner Seite (ich bin da),"Magdeburg, Germany",
TRAAGCZ128F93210FD,Black Eyed Peas,ARTDQRC1187FB4EFD4,Let's Get It Started,SOCHRXB12A8AE48069,Total Workout Running 102 - 135 - 84bpm Ideal For Jogging_ Running_ Treadmill & General Fitness,"Los Angeles, CA",
TRAAGKR12903CFC1E5,Calle Kristiansson,ARXKJYR1269FB2729B,Hungry Heart,SOKHUFS12AC9072FC7,Calle Kristiansson,,
TRAAGMC128F4292D0F,LITTLE TEXAS,ARDMBVC1187B98ED2A,My Love (Album Version),SONMIVJ12A58A76E0B,Rhino Hi-Five: Little Texas,"Nashville, TN",
TRAAGMJ12903CAD7D4,Julien Clerc,ARW63KF1187B98AC48,This Melody (Live),SODRHHD12AB0189F2A,Vendredi 13 - 1981,FR,
TRAAHOQ12903CC6A5A,The Hollies,ARXRNDO1187FB42BE5,Stop Stop Stop (1999 Digital Remaster),SOXVAWF12AF72AAFBE,The Albums Collection,"Manchester, England",
TRAAJSX128F4275A1D,Nelson Ned,AR6C8EJ1187FB3F473,Brasas Vivas,SOCCQIQ12A8C13C76B,Mis Momentos," Ubá, Minas Gerais",
TRAAKDJ12903D09573,Arisen Flame,ARCVOFZ1187FB58074,Income,SOUBASN12AC468DB23,Income EP,,
TRAAKLG128F93453BB,Doves,ARW64KS1187FB3C94D,Jetstream (Sasha Subdub),SOFHWGB12AB0180F70,Winter Hill,AU,
TRAAKMU128F9355D15,Space DJZ,ARXZRGV1187B991738,Force Majeure,SOHGHHF12AB0189658,Force Majeure - The RMX's,,
TRAAKOM12903D14D9F,Sonny fodera,ARSNJVG1252CCFA28B,Changes feat Adaja Black (Original Mix),SOOTPVX12AC46864A3,Changes feat Adaja Black,,
TRAAKQA128F424B272,Marilyn Monroe,ARP6N4J1187FB36C7B,I Wanna Be Loved By You,SOMFWHN12A8C13A014,The Very Best Of,"Los Angeles, CA",
TRAAKQS128F4224DE1,Brazilian Tropical Orchestra,AREYIHC1187B99CE0B,One Less Bell To Answer,SOPBKEB12A6D4FD777,American Songbook - Bacharach,,
TRAALAH128E078234A,The Verve,AR0L04E1187B9AE90C,Bitter Sweet Symphony,SOXQYSC12A6310E908,Bitter Sweet Symphony,"Wigan, Lancashire, England",
TRAAMBM128F4248306,Gary Smith,AR7Y33Q1187FB3CAE0,It's Your Store,SOSUKOM12A8C13509B,TV And Radio - Disk 3,,
